time,x,y,z
9630,-0.015897691,-0.015646264,0.039758682
9649,8.466244E-4,-0.008596815,0.040956497
9667,0.011486232,0.015137464,0.058909416
9687,0.011329591,0.014629789,0.04454899
9706,0.00391829,0.006900966,0.044549942
9725,-0.006601751,-0.015248634,0.07208061
9744,-0.0054496527,-0.011913918,0.09482479
9763,0.004158795,0.0035310313,0.040952682
9783,0.027713656,0.011976235,0.061306
9802,0.012021244,0.019053765,0.07926178
9821,0.006248176,0.00948631,0.03737259
9840,-0.01142174,-0.014329866,0.044548035
9859,-0.016116977,-0.017800689,0.06010437
9877,-0.008979619,-0.017683655,0.038560867
9897,0.008639991,0.010957912,0.04933548
9915,0.022991061,0.013807587,0.07806492
9934,0.019450605,0.014539383,0.04933262
9953,0.008998156,0.005957566,0.04693699
9973,-0.013545752,0.013294257,0.056502342
9992,-0.017269135,-0.015438676,0.054117203
10011,0.011359394,-0.020209827,0.037364006
10030,0.013592124,-0.013066351,0.058918953
10049,0.010802805,0.013096087,0.061318398
10069,0.0038914084,0.008468993,0.0505476
10087,1.4144182E-4,0.012089781,0.06611061
10106,-0.0020509958,1.860559E-4,0.052939415
10125,-0.0056373477,0.001567021,0.04456234
10144,0.002614379,-0.013912208,0.064920425
10163,0.0025956035,-0.01258941,0.04337597
10182,0.0096824765,0.002880223,0.04577446
10201,0.015529215,0.011917502,0.09245968
10221,0.011128128,0.017608412,0.17385101
10240,0.0870989,-0.044465348,-0.043203354
10258,-0.0852294,0.024234362,-0.14305305
10278,-0.026781142,-0.0063025206,0.3127632
10297,0.0013167858,-0.0153239,-0.061886787
10316,0.012221813,-0.004057966,-0.049993515
10334,0.016119957,0.0149595365,0.2540369
10354,0.03227508,0.008371152,0.0618639
10373,-0.05773318,0.024188444,-0.14117241
10392,0.008296132,-0.02703122,0.16738987
10411,0.0041205287,-0.017248146,0.056015015
10430,-0.0028142333,-0.006723456,-0.027945518
10449,0.008504748,0.014494427,0.111987114
10468,0.034398198,0.010777175,0.08798981
10487,0.009932637,0.012036055,-0.010284424
10505,3.5959482E-4,0.0037637427,0.080636024
10525,-0.019272447,0.001139082,0.06981754
10545,-0.010658026,-0.0048554465,0.020724297
10564,0.0073845983,-0.0048906654,0.07578182
10583,0.014121532,7.646531E-5,0.07221794
10601,0.0101953745,-0.0014565215,0.026750565
10620,0.013681412,-0.010968946,0.051894188
10639,0.0066314936,0.007294789,0.07463074
10658,-0.013809979,0.005818993,0.048300743
10677,-0.017819762,-2.919063E-4,0.047130585
10696,-0.0058434606,-0.0061906874,0.049523354
10715,0.0047339797,-0.005130872,0.047141075
10735,0.013681173,0.015251957,0.06511402
10754,0.011203706,0.0043323636,0.05675888
10774,0.0096850395,-0.0014410466,0.04959774
10792,0.0020322204,-0.004988745,0.04962635
10812,-0.006395757,0.0058053285,0.05322075
10830,-0.009967864,-2.6354194E-4,0.05681038
10850,-0.004890442,-0.0025566742,0.053201675
10869,2.782941E-4,0.0010081679,0.049588203
10887,0.014614642,0.010655828,0.061549187
10907,0.024540663,0.0034688339,0.061535835
10926,0.010025203,-0.0040182173,0.05316639
10944,-0.01888907,-0.0075834766,0.047192574
10967,-0.020097673,7.667318E-4,0.051980972
10982,-0.01396817,0.0030714571,0.054367065
11002,0.007720113,0.004239738,0.059144974
11020,0.0149104595,-0.005338758,0.055553436
11040,0.019634783,9.2305243E-4,0.05436039
11059,0.0136243105,0.0043356568,0.054351807
11078,-0.0016217828,-0.009093806,0.048355103
11097,-0.0037875175,-0.013920158,0.049539566
11116,-0.0072547197,-0.0020919368,0.05312252
11135,-0.008664846,0.0014677867,0.05433178
11154,0.014087915,0.0039411336,0.057923317
11173,0.018814564,6.2382966E-4,0.05673027
11192,0.013864696,-0.0041516125,0.055542946
11214,5.735755E-4,-0.0052690506,0.05435562
11230,-0.0102959275,-0.008912273,0.045981407
11249,-0.005558908,-0.004079245,0.053167343
11270,-4.9221516E-4,0.007792115,0.06272602
11288,0.007964492,0.0029785484,0.05673504
11306,0.011685431,0.0016461611,0.054332733
11326,0.0030593872,0.0052490234,0.056741714
11344,3.1369925E-4,0.0017501712,0.05437088
11364,-0.00464195,-0.0030602068,0.054379463
11383,-0.0045827627,-0.0018280223,0.051981926
11402,0.0024132729,0.0029245764,0.057979584
