time,x,y,z,absolute
2.764486125E0,7.498919314E-3,2.077964541E-3,-4.799336135E-2,4.862010347E-2
2.774441125E0,3.406905325E-3,8.098368554E-3,-5.128709793E-2,5.203419060E-2
2.784396125E0,1.374338475E-2,-1.190922512E-3,-4.589830399E-2,4.792653993E-2
2.794352125E0,1.347508663E-2,8.781468380E-3,-5.383239090E-2,5.618379176E-2
2.804307125E0,2.194014641E-2,1.564706343E-2,-7.568694413E-2,8.034123555E-2
2.814262125E0,1.219535039E-2,1.039837311E-2,-4.709639847E-2,4.974860283E-2
2.824218125E0,1.494404424E-3,-4.356345824E-3,-1.910402298E-2,1.965132788E-2
2.834173125E0,7.719201744E-3,-1.160986366E-3,-4.904059768E-2,4.965797202E-2
2.844128125E0,9.529840036E-3,5.268841514E-3,-6.490643263E-2,6.581355133E-2
2.854084125E0,1.723510439E-2,-2.525958333E-3,-5.293075025E-2,5.572336683E-2
2.864039125E0,2.397087299E-2,-3.113274600E-3,-4.589479566E-2,5.187125889E-2
2.873994125E0,3.101685236E-2,-1.396610885E-2,-3.781160474E-2,5.086073908E-2
2.883949125E0,1.853734099E-2,-7.541080937E-3,-7.328724682E-2,7.597053020E-2
2.893905125E0,1.452348554E-2,-6.023625692E-4,-6.819841504E-2,6.973032545E-2
2.903860125E0,1.376361931E-2,6.726964650E-3,-4.724199414E-2,4.966382265E-2
2.913815125E0,-2.043261544E-3,2.196676723E-3,-2.403907299E-2,2.422555132E-2
2.923771125E0,-4.606016222E-3,1.110383626E-2,-4.215023875E-2,4.383096157E-2
2.933726125E0,3.237505092E-3,1.104699378E-2,-6.505144358E-2,6.606215121E-2
2.943681125E0,7.399178606E-3,7.136122424E-3,-5.412358224E-2,5.509114486E-2
2.953637125E0,1.028807544E-2,7.474134886E-4,-5.232673287E-2,5.333376132E-2
2.963592125E0,1.829734476E-2,7.371461433E-3,-4.244669259E-2,4.680654848E-2
2.973547125E0,1.093810081E-2,1.318920575E-3,-5.472058296E-2,5.581866893E-2
2.983503125E0,1.064885322E-2,-1.603223163E-3,-6.729443550E-2,6.815063792E-2
2.993458125E0,5.725470227E-3,5.006593892E-3,-5.606778145E-2,5.658129645E-2
3.003413125E0,1.403117054E-3,-3.340630790E-3,-5.876276314E-2,5.887436525E-2
3.013368125E0,7.265387003E-3,1.209039744E-3,-5.397389352E-2,5.447411135E-2
